Region,lga,investment,type,entity,theme,name,description
SOUTH EASTERN METRO,Casey,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Melton,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Hume,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Cardinia,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Cardinia,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
HUME,Mitchell,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Casey,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Casey,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Port Phillip,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,$276 million*,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Stonnington,$21 million*,Road Operations,Department of Transport,Roads,Active transport ,A package of priority projects will be funded to promote Victoria’s walking and cycling network safety and usage.
EASTERN METRO,Monash,$21 million*,Road Operations,Department of Transport,Roads,Active transport ,A package of priority projects will be funded to promote Victoria’s walking and cycling network safety and usage.
