Region,investment,type,entity,theme,name,description
BARWON SW,302000000,Early Childhood Development,Department of Education,Education,Ready for school: Kinder for every three-year-old,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
BARWON SW,260000000,Train Services,Department of Transport,Public Transport,Warrnambool Rail Line Upgrade Stage 2,Funding is provided for a range of regional tourism infrastructure projects to support jobs and local communities.
E METRO,6000000000,Housing Assistance,Department of Health and Human Services,Housing,Big Housing Build,Funding is provided to accelerate capital planning and design for the expansion of Angliss Hospital at Ferntree Gully.
GIPPSLAND,241000000,Road Network Performance,Department of Transport,Roads,Princes Highway East Duplication Stage 3,Funding is provided for a new western metropolitan headquarter court that will meet the long-term demand for justice services in Wyndham and the surrounding growth corridor.
GIPPSLAND,302000000,Early Childhood Development,Department of Education,Education,Ready for school: Kinder for every three-year-old,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
GRAMPIANS,302000000,Early Childhood Development,Department of Education,Education,Ready for school: Kinder for every three-year-old,"Funding is provided for a range of supports across Victoria’s creative and broader experience economy, as a result of the coronavirus (COVID-19) pandemic."
HUME,302000000,Early Childhood Development,Department of Education,Education,Ready for school: Kinder for every three-year-old,"Funding is provided for a range of supports across Victoria’s creative and broader experience economy, as a result of the coronavirus (COVID-19) pandemic."
HUME,400000000,Train Services,Department of Transport,Public Transport,Shepparton Rail Line Upgrade Stage 3,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
LODDON MALLEE,302000000,Early Childhood Development,Department of Education,Education,Ready for school: Kinder for every three-year-old,"Further investment is provided to continue the progressive roll-out of universal three-year-old kindergarten, ensuring that children can access the benefits of two years of play-based learning at kindergarten before school."
N AND W METRO,6000000000,Housing Assistance,Department of Health and Human Services,Housing,Big Housing Build,Funding is provided for the groundwater treatment program to safeguard Bendigo’s urban waterways.
N AND W METRO,400000000,Train Services,Department of Transport,Public Transport,Shepparton Rail Line Upgrade Stage 3,Funding is provided to Parks Victoria to maintain and upgrade a range of visitor facilities across Victoria including 35 playgrounds. 
