agency,year,Sector,TEI
Department of Education,2015,Education and Training,248000000
"Department of Environment, Energy and Climate Action",2015,"Culture, sport and community",484000000
"Department of Environment, Energy and Climate Action",2015,Environment,334000000
Department of Health,2015,Health and human services,1416000000
Department of Justice and Community Safety,2015,Justice and emergency services,577000000
Department of Transport and Planning,2015,Transport,9619000000
Goulburn Murray Rural Water Corporation,2015,Water,823000000
Other PNFC,2015,"Culture, sport and community",338000000
Port of Hastings Development Authority,2015,Transport,0
Port of Melbourne Corporation,2015,Transport,641000000
Victorian Rail Track,2015,Transport,18016000000
Department of Education,2016,Education and Training,248000000
"Department of Environment, Energy and Climate Action",2016,Environment,334000000
Department of Health,2016,Health and human services,1764000000
Department of Justice and Community Safety,2016,Justice and emergency services,488000000
Department of Transport and Planning,2016,Transport,16113000000
Goulburn Murray Rural Water Corporation,2016,Water,927000000
Other PNFC,2016,"Culture, sport and community",338000000
Port of Melbourne Corporation,2016,Transport,598000000
Victorian Rail Track,2016,Transport,18630000000
Department of Education,2017,Education and Training,253000000
"Department of Environment, Energy and Climate Action",2017,Environment,334000000
Department of Health,2017,Health and human services,1265000000
"Department of Jobs, Skills, Industry and Regions",2017,"Culture, sport and community",169000000
Department of Justice and Community Safety,2017,Justice and emergency services,1157000000
Department of Transport and Planning,2017,Transport,19111000000
Director of Housing,2017,Health and human services,185000000
Goulburn Murray Rural Water Corporation,2017,Water,1015000000
Other PNFC,2017,"Culture, sport and community",610000000
Port of Melbourne Corporation,2017,Transport,0
Victorian Rail Track,2017,Transport,17537000000
Department of Education,2018,Education and Training,253000000
"Department of Environment, Energy and Climate Action",2018,Environment,331000000
Department of Health,2018,Health and human services,2509000000
"Department of Jobs, Skills, Industry and Regions",2018,"Culture, sport and community",308000000
Department of Justice and Community Safety,2018,Justice and emergency services,1868000000
Department of Transport and Planning,2018,Transport,24335000000
Director of Housing,2018,Health and human services,185000000
Goulburn Murray Rural Water Corporation,2018,Water,1105000000
Other PNFC,2018,"Culture, sport and community",610000000
Victorian Rail Track,2018,Transport,22100000000
Court Services Victoria,2019,Justice and emergency services,152000000
Department of Education,2019,Education and Training,101000000
"Department of Environment, Energy and Climate Action",2019,Environment,331000000
Department of Health,2019,Health and human services,3827000000
"Department of Jobs, Skills, Industry and Regions",2019,"Culture, sport and community",583000000
Department of Justice and Community Safety,2019,Justice and emergency services,2985000000
Department of Transport and Planning,2019,Transport,46267000000
Director of Housing,2019,Health and human services,394000000
Goulburn Murray Rural Water Corporation,2019,Water,1100000000
Other PNFC,2019,"Culture, sport and community",738000000
Victorian Rail Track,2019,Transport,27061000000
Court Services Victoria,2020,Justice and emergency services,423000000
Department of Education,2020,Education and Training,1242000000
"Department of Environment, Energy and Climate Action",2020,Water,153000000
Department of Health,2020,Health and human services,7345000000
"Department of Jobs, Skills, Industry and Regions",2020,"Culture, sport and community",572000000
Department of Justice and Community Safety,2020,Justice and emergency services,3086000000
Department of Transport and Planning,2020,"Culture, sport and community",121000000
Department of Transport and Planning,2020,Transport,47410000000
Director of Housing,2020,Health and human services,3732000000
Goulburn Murray Rural Water Corporation,2020,Water,1231000000
Other PNFC,2020,"Culture, sport and community",2325000000
Victorian Rail Track,2020,Transport,35371000000
Court Services Victoria,2021,Justice and emergency services,770000000
Department of Education,2021,Education and Training,3817000000
"Department of Environment, Energy and Climate Action",2021,Environment,192000000
"Department of Environment, Energy and Climate Action",2021,Water,169000000
Department of Health,2021,Health and human services,10861000000
"Department of Jobs, Skills, Industry and Regions",2021,"Culture, sport and community",414000000
Department of Justice and Community Safety,2021,Justice and emergency services,3107000000
Department of Transport and Planning,2021,"Culture, sport and community",121000000
Department of Transport and Planning,2021,Transport,36659000000
Director of Housing,2021,Health and human services,4115000000
Fire Rescue Victoria,2021,Justice and emergency services,104000000
Goulburn Murray Rural Water Corporation,2021,Water,1199000000
Other PNFC,2021,"Culture, sport and community",2277000000
State Tolling Corporation,2021,Transport,14034000000
Victorian Rail Track,2021,Transport,32993000000
Court Services Victoria,2022,Justice and emergency services,423000000
Department of Education,2022,Education and Training,6462000000
"Department of Environment, Energy and Climate Action",2022,Environment,192000000
"Department of Environment, Energy and Climate Action",2022,Water,300000000
Department of Health,2022,Health and human services,13930000000
Department of Health,2022,Justice and emergency services,169000000
"Department of Jobs, Skills, Industry and Regions",2022,"Culture, sport and community",407000000
"Department of Jobs, Skills, Industry and Regions",2022,Education and Training,142000000
Department of Justice and Community Safety,2022,Justice and emergency services,2983000000
Department of Transport and Planning,2022,Transport,38985000000
Director of Housing,2022,Health and human services,4271000000
Fire Rescue Victoria,2022,Justice and emergency services,107000000
Other PNFC,2022,"Culture, sport and community",1984000000
State Tolling Corporation,2022,Transport,14034000000
Victorian Rail Track,2022,Transport,30786000000
