BARWON SW,Warrnambool,$116 million*,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
BARWON SW,Greater Geelong,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portarlington."
BARWON SW,Glenelg,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portland."
BARWON SW,Greater Geelong,$13.4 million*,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
BARWON SW,Colac Otway,"$700,000*",Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Doing what matters for local communities – environment,Funding is provided to support the Southern Otway Landcare Network Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
BARWON SW,Greater Geelong,$30.4 million,Ambulance Emergency Services; Ambulance Non-Emergency Services,Department of Health,Health,A new ambulance station for Armstrong Creek,Funding is provided for a new ambulance station in Armstrong Creek to improve ambulance response times and better support paramedics in the City of Greater Geelong and surrounding regions.
BARWON SW,Warrnambool,"$200,000",Regional Development,"Department of Jobs, Skills, Industry and Regions",Regional Investment,Doing what matters for local communities – regions,Funding is provided to upgrade St Leonards Progress Association Hall and the continuation and maintenance of the Warrnambool Community Garden.
BARWON SW,Queenscliffe,$34.2 million*,Emergency Management Capability,Department of Justice and Community Safety,Emergency Services,Delivering emergency services upgrades,"Funding is provided to support emergency services, this includes purchasing a new marine rescue vessel for Queenscliff"
BARWON SW,Greater Geelong,$694 million*,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Barwon Heads Road Upgrade – Stage 2 in Armstrong Creek."
EASTERN METRO,Monash,$13.4 million*,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
EASTERN METRO,Monash,$61.6 million*,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes safer and better shared user paths in Ashwood."
EASTERN METRO,Monash,$61.6 million*,Road Operations,Department of Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the installation of electronic speed signs at Centre Road, Clayton."
GIPPSLAND,South Gippsland,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Foster."
GIPPSLAND,Latrobe,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Yallourn North-Glengarry."
GIPPSLAND,East Gippsland,"$100,000",Energy and Resources,"Department of Energy, Environment and Climate Action",Clean Energy,Doing what matters for local communities – renewable energy ,Funding is provided to deliver renewable energy solutions in Benambra to support the local community with access to clean and local energy alternatives.
GIPPSLAND,Baw Baw,$320 million*,Admitted Services,Department of Health,Health,Hospital Infrastructure Delivery Fund ,"Funding is provided to boost capacity, improve infrastructure and ensure Victorians receive the highest quality health care. This includes the new hospital in West Gippsland."
GIPPSLAND,Bass Coast,"$200,000",Sustainably Managed Fish and Boating Resources,"Department of Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Lakes Entance Oyster Farm.
GIPPSLAND,East Gippsland,"$250,000",Sustainably Managed Fish and Boating Resources,"Department of Jobs, Skills, Industry and Regions",Sports and Recreation,Go Fishing Victoria ,Funding is provided to increase production of Victorian fish stocks. This includes Corinella Boating and Angling Club.
GRAMPIANS,Hepburn,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Creswick-Clunes."
GRAMPIANS,Golden Plains,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Golden Plains."
GRAMPIANS,Yarriambiack,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Murtoa College early learning centre."
GRAMPIANS,Hepburn,$7.2 million,Environment and Biodiversity,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – animal welfare ",Funding is provided for a package of wildlife welfare and conservation programs.
GRAMPIANS,Moorabool,$36.4 million*,Bus Services,Department of Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Maddingly."
GRAMPIANS,Moorabool,$694 million*,Road Operations,Department of Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Grant Street Intersection Upgrade in Bacchus Marsh."
HUME,Wangaratta,$116 million*,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
HUME,Moira,$991 million*,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Numurkah."
