name,theme,entity,type,investment,lga,feature_type,Geographic Latitude,Geographic Longitude,description
"$1 billion invested in the training system, providing greater access to training through a number of initiatives",Education,Statewide Project,"Training, Higher Education and Workforce Development",$1 billion,,Statewide,,,
$1.1 billion in grants to support small and medium-sized businesses,Strong Communities,Statewide Project,Industry,$1.1 billion,,Statewide,,,
"$1.3 billion for child protection initiatives providing support for care leavers, early intervention for families and support for vulnerable children",Strong Communities,Statewide Project,Child Protection and Family Services,$1.3 billion,,Statewide,,,
"$1.6 billion invested in cheaper, cleaner energy to power the economic recovery",Clean Energy,Statewide Project,Energy and Solar Homes,$1.6 billion,,Statewide,,,
$1.6 billion to transform how we support students with disability,Education,Statewide Project,Support for Students with Disabilities,$1.6 billion,,Statewide,,,
$1.7 billion cash flow boost for businesses through the deferral of 2020-21 payroll tax liabilities for payrolls up to $10 million,Strong Communities,Statewide Project,Economic Support,$1.7 billion,,Statewide,,,
"$1.9 billion to upgrade 162 schools, build one new school and four additional stages at recently built schools",Education,Statewide Project,School Education,$1.9 billion,,Statewide,,,
$120 million top up for the Regional Health Infrastructure Fund,Health,Statewide Project,Acute Health Services,$120 million,,Statewide,,,
$191 million to provide solar panel system and battery storage rebates to more homes and small businesses,Clean Energy,Statewide Project,Energy and Solar Homes,$191 million,,Statewide,,,
$2 billion for the Breakthrough Victoria Fund to build on our strengths in research and development across key industries,Strong Communities,Statewide Project,"Government-wide Leadership, Reform and Implementation",$2 billion,,Statewide,,,
"$2.8 billion to maintain capacity in our health system as hospitals move to COVID Normal, allowing for more elective surgeries",Health,Statewide Project,Acute Health Services,$2.8 billion,,Statewide,,,
$200 million top up for the metropolitan Health Infrastructure Fund,Health,Statewide Project,Acute Health Services,$200 million,,Statewide,,,
"$235 million to build our Recovery Workforce to create jobs across mental health, family violence, health and child protection",Strong Communities,Statewide Project,Jobs,$235 million,,Statewide,,,
$250 million to employ tutors in every government school and for every non-government school that needs them,Education,Statewide Project,School Education,$250 million,,Statewide,,,
$388 million invested in the Keeping Victorians Moving initiative to reduce congestion and wait times for registration and licensing services across the State,Roads,Statewide Project,Road Network Performance,$388 million,,Statewide,,,
$450 million for a statewide road maintenance blitz to improve safety for all road users and help maximise the productivity of the Victorian road network,Roads,Statewide Project,Road Asset Management,$450 million,,Statewide,,,
"$6 billion for Victoria’s Big Housing Build, including to build more than 12 000 new social and affordable homes, and make housing more accessible and affordable for Victorians, supporting thousands of jobs",Housing,Statewide Project,Housing Assistance,$6 billion,,Statewide,,,
$619 million Jobs for Victoria initiative to help provide targeted and tailored support for Victorians most affected during this pandemic,Strong Communities,Statewide Project,Jobs,$619 million,,Statewide,,,
$626 million for Digital Future Now package to support our transition to a digital economy,Digital Future,Statewide Project,"Innovation, Medical Research and Small Business",$626 million,,Statewide,,,
"$774 million invested in early childhood education, including free kindergarten programs in 2021 and the continued roll-out of funded 3-year-old kinder",Education,Statewide Project,Early Childhood Education,$774 million,,Statewide,,,
"$836 million in New jobs tax credits to re-hire staff, restore hours and create new jobs",Strong Communities,Statewide Project,Economic Support and Recovery,$836 million,,Statewide,,,
"$869 million invested in mental health initiatives, including more acute mental health beds",Health,Statewide Project,Mental Health,$869 million,,Statewide,,,
A Health Catalyst: Activating the Arden and Parkville Precincts,Health,Department of Health and Human Services,Acute Health Services,$10 million,Melbourne (C),Point,-37.801425,144.939479,
Addressing Critical Demand in Melbourne's West: Stage 2 Werribee Mercy Hospital,Health,Department of Health and Human Services,Acute Health Services,$4.8 million,Wyndham (C),Point,-37.887024,144.698118,
Agricultural College Modernisation Fund,Regional Investment,"Department of Jobs, Precincts and Regions",Agriculture,$50 million*,Horsham (RC),Point,-36.666645,142.304166,Planning will commence to redevelop the Royal Melbourne Hospital and establish an additional site for the Royal Melbourne Hospital and potentially the Royal Women’s Hospital.
Agricultural College Modernisation Fund,Regional Investment,"Department of Jobs, Precincts and Regions",Agriculture,$50 million*,Greater Shepparton (C),Point,-36.383541,145.703804,Funding is provided to undertake service and capital planning for the future expansion of the Werribee Mercy Hospital to address forecast demand in the growing western corridor.
Agricultural College Modernisation Fund,Regional Investment,"Department of Jobs, Precincts and Regions",Agriculture,$50 million*,Greater Geelong (C),Point,-38.189157,144.298305,Funding is provided for infrastructure upgrades to accommodation and research and learning facilities at regional agricultural training facilities to support the agricultural sector to grow and modernise.
Anam Cara House Geelong ,Health,Department of Health and Human Services,Acute Health Services,$5 million,Greater Geelong (C),Point,-38.197332,144.298703,Funding is provided for infrastructure upgrades to accommodation and research and learning facilities at regional agricultural training facilities to support the agricultural sector to grow and modernise.
Angliss Hospital expansion,Health,Department of Health and Human Services,Acute Health Services,$4.5 million,Knox (C),Point,-37.898631,145.314105,Funding is provided for infrastructure upgrades to accommodation and research and learning facilities at regional agricultural training facilities to support the agricultural sector to grow and modernise.
Bendigo groundwater management,Environment and Parkland,"Department of Environment, Land, Water and Planning",Regional and Rural Victoria,$3.5 million,Greater Bendigo (C),Point,-36.756671,144.279526,"A grant will be provided to contribute to the construction of a new 20-bed private respite service to help meet end of life care needs, offering an alternative to hospital or home-based care."
Big Housing Build,Housing,Department of Health and Human Services,Housing Assistance,$6 billion*,Boroondara (C),LGA,,,Funding is provided to accelerate capital planning and design for the expansion of Angliss Hospital at Ferntree Gully.
Big Housing Build,Housing,Department of Health and Human Services,Housing Assistance,$6 billion*,Moonee Valley (C),LGA,,,Funding is provided for the groundwater treatment program to safeguard Bendigo’s urban waterways.
Big Housing Build,Housing,Department of Health and Human Services,Housing Assistance,$6 billion*,Boroondara (C),LGA,,,Funding is provided to deliver over 12 000 new homes throughout Victoria. This includes 9 300 social housing properties replacing 1 100 old social housing dwellings. 
Big Housing Build,Housing,Department of Health and Human Services,Housing Assistance,$6 billion*,Banyule (C),LGA,,,Funding is provided to deliver over 12 000 new homes throughout Victoria. This includes 9 300 social housing properties replacing 1 100 old social housing dwellings. 
Big Housing Build,Housing,Department of Health and Human Services,Housing Assistance,$6 billion*,Moonee Valley (C),LGA,,,Funding is provided to deliver over 12 000 new homes throughout Victoria. This includes 9 300 social housing properties replacing 1 100 old social housing dwellings. 
Big Housing Build,Housing,Department of Health and Human Services,Housing Assistance,$6 billion*,Yarra (C),LGA,,,Funding is provided to deliver over 12 000 new homes throughout Victoria. This includes 9 300 social housing properties replacing 1 100 old social housing dwellings. 
Bridge Renewal Program,Roads,Department of Transport,Road Network Performance,$13 million*,Greater Dandenong (C),Point,-38.012591,145.249937,Funding is provided to deliver over 12 000 new homes throughout Victoria. This includes 9 300 social housing properties replacing 1 100 old social housing dwellings. 
Bridge Renewal Program,Roads,Department of Transport,Road Network Performance,$13 million*,Melbourne (C),Point,-37.804911,144.936161,Funding is provided to deliver over 12 000 new homes throughout Victoria. This includes 9 300 social housing properties replacing 1 100 old social housing dwellings. 
Bridge Renewal Program,Roads,Department of Transport,Road Network Performance,$13 million*,Glenelg (S),Point,-37.47751,141.424583,Funding is provided to upgrade and strengthen bridges to improve productivity and safety.
Bridge Renewal Program,Roads,Department of Transport,Road Network Performance,$13 million*,Alpine (S),Point,-36.569077,146.716221,Funding is provided to upgrade and strengthen bridges to improve productivity and safety.
Building a world-class hospital for Frankston families,Health,Department of Health and Human Services,Acute Health Services,$562 million,Frankston (C),Point,-38.150791,145.128628,Funding is provided to upgrade and strengthen bridges to improve productivity and safety.
Building Better TAFEs Fund,Education,Department of Education,"Training, Higher Education and Workforce Development",$100 million*,Frankston (C),Point,-38.143618,145.127073,Funding is provided to upgrade and strengthen bridges to improve productivity and safety.
Building Better TAFEs Fund,Education,Department of Education,"Training, Higher Education and Workforce Development",$100 million*,Yarra (C),Point,-37.800448,144.985513,Funding is provided to expand Frankston Hospital to meet the growing needs of the area.
Bulla Bypass ,Roads,Department of Transport,Road Network Performance,$6.5 million,Hume (C),Point,-37.637001,144.8031,Funding is provided for two TAFE redevelopment projects to improve lifelong education pathways.
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Greater Geelong (C),Point,-38.186718,144.338585,Funding is provided for two TAFE redevelopment projects to improve lifelong education pathways.
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Whittlesea (C),Point,-37.634561,145.076024,"Funding is provided to progress planning for a bypass of Bulla, to relieve pressure on the Sunbury to Bulla Road and improve transport connections in Melbourne’s growing north."
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Hume (C),Point,-37.598361,144.889888,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Banyule (C),Point,-37.686713,145.13981,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Wyndham (C),Point,-37.90848,144.740522,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Cardinia (S),Point,-38.069962,145.411903,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Horsham (RC),Point,-36.719073,142.196143,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Bus service improvements,Public Transport,Department of Transport,Bus Services,$21 million*,Mornington Peninsula (S),Point,-38.354889,144.907417,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Caulfield rationalisation: Planning and development,Public Transport,Department of Transport,Train Services,$5.5 million*,Glen Eira (C),Point,-37.877412,145.042306,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Caulfield rationalisation: Planning and development,Public Transport,Department of Transport,Train Services,$5.5 million*,Greater Dandenong (C),Point,-37.989981,145.209745,"Funding is provided to address critical safety issues, accelerate the delivery of a new bus service, network reform and service upgrades, and improve school special services."
Cheaper cleaner energy to drive economic recovery,Clean Energy,"Department of Environment, Land, Water and Planning",Energy and Solar Homes,$682 million*,Greater Geelong (C),Point,-38.03727,144.296377,Detailed planning and design will commence for future Caulfield rationalisation works.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Mount Alexander (S),Point,-37.000223,144.255172,Detailed planning and design will commence for future Caulfield rationalisation works.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Mount Alexander (S),Point,-37.113291,144.056112,Funding is provided to develop new energy projects that will deliver cheaper and cleaner energy for Victoria.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,South Gippsland (S),Point,-38.430818,145.82386,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,South Gippsland (S),Point,-38.333137,145.670584,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Yarriambiack (S),Point,-35.682459,142.664345,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Yarriambiack (S),Point,-35.383655,142.189757,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Golden Plains (S),Point,-37.966307,144.131216,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Moorabool (S),Point,-37.675858,144.013756,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Strong Communities,Department of Transport,Transport Infrastructure,$9 million*,Wyndham (C),Point,-37.962867,144.498894,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Community use of vacant rail buildings,Regional Investment,Department of Transport,Transport Infrastructure,$9 million*,Glenelg (S),Point,-37.587475,141.403808,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Country Fire Authority: Fire station at Newborough,Emergency Services,Department of Justice and Community Safety,Emergency Management Capability,$2.2 million,Latrobe (C),Point,-38.176239,146.297852,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Cultural agencies recovery and adaptation (Arts Centre Melbourne),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$15 million*,Melbourne (C),Point,-37.820149,144.968105,The Government will restore and upgrade ten former railway buildings to allow for multipurpose community use.
Cultural agencies recovery and adaptation (Australian Centre for the Moving Image),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$15 million*,Melbourne (C),Point,-37.817385,144.968722,Funding is provided to commence the construction of a new Country Fire Authority station in Newborough.
Cultural agencies recovery and adaptation (Geelong Arts Centre),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$15 million*,Greater Geelong (C),Point,-38.147372,144.356511,Funding is provided to support the operations of cultural agencies through closure and reopening while continuing to support their workforce.
Cultural agencies recovery and adaptation (Museums Victoria),Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$15 million*,Melbourne (C),Point,-37.803236,144.971735,Funding is provided to support the operations of cultural agencies through closure and reopening while continuing to support their workforce.
Danny Frawley Centre for Health and Wellbeing,Sports and Recreation,"Department of Jobs, Precincts and Regions","Sport, Community Sport, Recreation and Racing",$7.3 million,Kingston (C),Point,-37.938146,145.044365,Funding is provided to support the operations of cultural agencies through closure and reopening while continuing to support their workforce.
