unique_id,name,theme,entity,type,investment,lga,feature_type,lat,long,description
S_0001,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Casey (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham. "
S_0002,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Casey (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0003,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Greater Geelong (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0004,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Melton (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0005,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Melton (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0006,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Wyndham (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0007,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Cardinia (S),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0008,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Melton (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0009,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Hume (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0010,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Casey (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0011,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Hume (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
S_0012,Land acquisition for new schools,Education,Department of Education and Training,Land acquisition,$236.7 million*,Whittlesea (C),LGA,,,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
