Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Education,2015,qtr 2 2016‑17,227000000,22000000,,Trade training centres - government schools (statewide),Existing,Education and Training,248000000
"Department of Environment, Energy and Climate Action",2015,qtr 2 2053‑54,22000000,313000000,,Melbourne strategic assessment (metro various),Existing,Environment,334000000
"Department of Environment, Energy and Climate Action",2015,qtr 1 2015‑16,437000000,47000000,TEI is reduced by $7.982 million. This is due to the transfer of funds from capital to output funding. Project has a revised estimated completion date.,Melbourne Wholesale Markets redevelopment (Epping),Existing,"Culture, sport and community",484000000
Department of Health,2015,qtr 4 2019‑20,0,106000000,The TEI includes funding held in contingency pending completion of business planning and development.,Casey Hospital Expansion (Berwick),New,Health and human services,106000000
Department of Health,2015,qtr 4 2019‑20,0,200000000,,Western Women's and Children's Hospital (St Albans),New,Health and human services,200000000
Department of Health,2015,qtr 2 2018‑19,46000000,119000000,This initiative includes funds allocated in 2012‑13 of $2.000 million for the planning and development of this project.,Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Existing,Health and human services,165000000
Department of Health,2015,qtr 2 2016‑17,46000000,204000000,This initiative includes funds allocated in 2011‑12 and 2012‑13 for the planning and development of this project.,Monash Children's Hospital (Clayton),Existing,Health and human services,250000000
Department of Health,2015,qtr 2 2015‑16,69000000,49000000,The TEI of this initiative has changed to reflect additional improvements at Geelong Hospital including relocation of the current helipad to the rooftop of the acute services tower block.,Geelong Hospital - major upgrade (Geelong),New,Health and human services,118000000
Department of Health,2015,qtr 2 2016‑17,98000000,32000000,,Bendigo Hospital - Redevelopment (Bendigo),Existing,Health and human services,129000000
Department of Health,2015,qtr 2 2015‑16,412000000,36000000,,Box Hill Hospital - Redevelopment (Box Hill),Existing,Health and human services,448000000
Department of Justice and Community Safety,2015,qtr 4 2016‑17,21000000,87000000,The TEI includes previously approved funding of $19.460 million and reflects a reprioritisation of $22.400 million to Critical infrastructure and services.,Corrections system expansion (statewide),Existing,Justice and emergency services,108000000
Department of Justice and Community Safety,2015,qtr 1 2015‑16,107000000,2000000,,Building confidence in corrections - Construction/asset enhancement (statewide),Existing,Justice and emergency services,109000000
Department of Justice and Community Safety,2015,qtr 2 2015‑16,111000000,3000000,,State Coronial Services redevelopment (statewide),Existing,Justice and emergency services,114000000
Department of Justice and Community Safety,2015,qtr 2 2017‑18,162000000,85000000,"This initiative includes additional prison beds and the new male prison. The TEI reflects previously reprioritised funding, the application of public private partnership policy and a reprioritisation of $5.400 million to Critical infrastructure and services in the current budget.",Increase Prison Capacity (statewide),Existing,Justice and emergency services,246000000
Department of Transport and Planning,2015,Discontinued,0,0,"Project has ceased and been replaced by the Conventional signalling upgrade - Caulfield to Dandenong, Level Crossing Removal Program, and High‑capacity metro trains.",Cranbourne‑Pakenham rail corridor project (metro various),Discontinued,Transport,0
Department of Transport and Planning,2015,qtr 4 2017‑18,0,80000000,Total package of $90.000 million includes $10.250 million in output funding.,Optimising transport network performance - congestion package (statewide),New,Transport,80000000
Department of Transport and Planning,2015,qtr 2 2018‑19,0,110000000,,Chandler Highway Bridge duplication (Alphington/Kew),New,Transport,110000000
Department of Transport and Planning,2015,qtr 4 2017‑18,0,150000000,,M80 Upgrade - EJ Whitten Bridge to Sunshine Avenue (Sunshine North),New,Transport,150000000
Department of Transport and Planning,2015,qtr 2 2022‑23,3000000,5997000000,"The TEI includes funding announced in Getting On With It, February 2015. TEI relates to funding for the full eight year program. Funding will be released progressively as planning for packages of work is completed and projects released to market for tender. Includes the remaining funding for Metro Level Crossing Blitz (metro various).",Level Crossing Removal Program (metro various),New,Transport,6000000000
Department of Transport and Planning,2015,qtr 4 2018‑19,5000000,344000000,TEI includes $181.735 million of Commonwealth funding.,Princes Highway duplication project - Winchelsea to Colac (non‑metro various),Existing,Transport,349000000
Department of Transport and Planning,2015,qtr 2 2018‑19,27000000,245000000,State Government contribution (including anticipated Commonwealth Government funding of $200 million) to widen the Tullamarine Freeway between Bulla Road and Melbourne Airport. This project is part of the broader $1.3 billion CityLink-Tulla widening project funded by Transurban in conjunction with the State and Commonwealth Governments.,CityLink-Tulla widening project - Tullamarine Freeway widening (Tullamarine),New,Transport,273000000
